UID          PID    PPID  C STIME TTY          TIME CMD
doris       3261    2147  0 16:53 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
doris       3267    2518  0 16:53 ?        00:00:00 /usr/libexec/mutter-x11-frames
root        3291       1  0 16:53 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
doris       3298    2147  0 16:53 ?        00:00:00 /usr/libexec/gvfsd-metadata
doris       3301    2147  0 16:53 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
doris       3584    2492  0 16:54 ?        00:00:00 /usr/bin/update-notifier
root        4309       1  0 17:03 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        4344       1  0 17:03 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        4376       2  0 17:08 ?        00:00:00 [kworker/0:1-events]
root        4398       2  0 17:08 ?        00:00:00 [kworker/u2:1-events_power_efficient]
root        4606       2  0 17:11 ?        00:00:00 [kworker/0:3-cgroup_destroy]
root        4812       2  0 17:12 ?        00:00:00 [kworker/R-tls-s]
root        5331       1  0 17:12 ?        00:00:00 /usr/lib/systemd/systemd-journald
systemd+    6623       1  0 17:12 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root        6784       1  0 17:12 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root        6788       2  0 17:12 ?        00:00:00 [psimon]
systemd+    6958       1  0 17:12 ?        00:00:00 /usr/lib/systemd/systemd-oomd
systemd+    7568       1  0 17:12 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root        8406       2  0 17:12 ?        00:00:00 [kworker/0:0H-kblockd]
root       10026       1  0 17:12 ?        00:00:00 /usr/lib/snapd/snapd
root       10929       2  0 17:13 ?        00:00:00 [psimon]
syslog     10981       1  0 17:13 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
doris      15577    2147  0 17:14 ?        00:00:01 /usr/libexec/gnome-terminal-server
doris      15591   15577  0 17:14 pts/0    00:00:00 bash
root       16084       2  0 17:23 ?        00:00:00 [kworker/0:0-events]
root       16095       2  0 17:25 ?        00:00:00 [kworker/u2:0-events_power_efficient]
doris      16609   15591  0 17:27 pts/0    00:00:00 ps -ef
